accuracy,num_samples,signal_attention_mass_mean,signal_attention_mass_std,attention_entropy_mean,attention_entropy_std,model,distance,density,seed
0.496,500,0.1326801070868969,0.05954610549778801,3.4078620686531065,0.15088398947021942,bert,20,1,1
0.444,500,0.13598334416002036,0.06242233106677295,3.4133153944015504,0.15350866638666266,bert,20,1,2
0.482,500,0.13236079009249807,0.05794077988756419,3.4057202682495116,0.15450509633550646,bert,20,1,3
0.488,500,0.13122292970865965,0.05579933150003089,3.398403094291687,0.14837360755897847,bert,20,5,1
0.454,500,0.13264539015479385,0.06209769704157702,3.3973134927749635,0.14608098290062094,bert,20,5,2
0.468,500,0.12990033517032862,0.05935436973687023,3.401766637802124,0.14748229488982384,bert,20,5,3
0.478,500,0.12374788020551204,0.05931997360953039,3.395034068584442,0.14043213963077453,bert,20,10,1
0.47,500,0.12007930194959045,0.055273480469309515,3.404098641872406,0.14350453086529205,bert,20,10,2
0.472,500,0.1192101555429399,0.05473253529905995,3.3956040830612184,0.15045065034373709,bert,20,10,3
0.45,500,0.11454719145223498,0.055008652094143635,3.388174861431122,0.14746719472803432,bert,20,20,1
0.464,500,0.11754625475779176,0.052828309902537826,3.3808397579193117,0.14520775228857646,bert,20,20,2
0.47,500,0.11542220882326365,0.05226302020100254,3.393460397720337,0.14456557582477741,bert,20,20,3
0.684,500,0.12485310952365399,0.06889302660797866,3.6637425408363344,0.14777971772555348,bert,50,1,1
0.658,500,0.12743783435691147,0.07251386785619454,3.653462471485138,0.1413558101303574,bert,50,1,2
0.658,500,0.1283644634783268,0.07115445791718636,3.659829834938049,0.14737530273791477,bert,50,1,3
0.626,500,0.11435107464157045,0.06250545970204435,3.652431667327881,0.13631107088567795,bert,50,5,1
0.622,500,0.11661663157492876,0.06838754468736659,3.6508633942604063,0.1500573158214038,bert,50,5,2
0.606,500,0.11899967451393605,0.06740502237889738,3.6547464380264283,0.14585893831053495,bert,50,5,3
0.568,500,0.10347952073812484,0.06307026211239215,3.6405460114479067,0.1369400557693831,bert,50,10,1
0.606,500,0.10200482884887606,0.061850205755821466,3.6399328184127806,0.1341021834269286,bert,50,10,2
0.56,500,0.09880839352309703,0.06059410100487834,3.6355108342170714,0.14606721608520284,bert,50,10,3
0.556,500,0.0926160531770438,0.05578245364540313,3.6298632745742796,0.1350767357629385,bert,50,20,1
0.602,500,0.10099380779452621,0.06021465384323987,3.63197280216217,0.13443904619448602,bert,50,20,2
0.566,500,0.10052713317330926,0.06441592806934539,3.639837154388428,0.12875128346207343,bert,50,20,3
0.636,500,0.07554945163475349,0.042092428858721956,3.675040718078613,0.1650649134891325,bert,100,1,1
0.63,500,0.07161227324651555,0.04021043835877729,3.6714509234428405,0.16236491883882684,bert,100,1,2
0.622,500,0.0727140361778438,0.04119107692869639,3.671596267223358,0.1603159734207118,bert,100,1,3
0.59,500,0.06917595461336896,0.03955762904777052,3.6608056049346924,0.1617493484478228,bert,100,5,1
0.592,500,0.06709841228974983,0.04050893184697966,3.655966086387634,0.16516726023657885,bert,100,5,2
0.622,500,0.0701871674573049,0.04077932834970626,3.657228561401367,0.16048473408463337,bert,100,5,3
0.524,500,0.05536409808555618,0.03620973401296097,3.629766983032227,0.16751163067804728,bert,100,10,1
0.53,500,0.057556705378228795,0.03796746485419143,3.626462281703949,0.1715553641654976,bert,100,10,2
0.526,500,0.05717661574017256,0.037741468439051434,3.6317334876060485,0.16628682090539812,bert,100,10,3
0.484,500,0.05127752358349971,0.036846520822255174,3.6101093287467956,0.16100199620500624,bert,100,20,1
0.484,500,0.05031870981375687,0.03783516609333074,3.599872197628021,0.17521254075485002,bert,100,20,2
0.484,500,0.050831522569060324,0.036343430165807,3.603477521419525,0.1647756316112198,bert,100,20,3
0.682,500,0.09031169746723026,0.042176912517004804,3.7922542181015015,0.1841249688033096,bert,200,1,1
0.682,500,0.09138146996125579,0.046644537381435126,3.779939022541046,0.18572754347480708,bert,200,1,2
0.684,500,0.09272438858635723,0.0460555226132449,3.7825077233314515,0.18520347804031836,bert,200,1,3
0.688,500,0.09355999960098416,0.047245562868473624,3.799195285320282,0.18294628880626768,bert,200,5,1
0.71,500,0.09002818469237536,0.046735383077004526,3.8065700607299804,0.18519239791671321,bert,200,5,2
0.702,500,0.08726353984232992,0.04554647553560046,3.8197622051239013,0.1834102531791363,bert,200,5,3
0.578,500,0.07443132953206077,0.04020005013189411,3.920930377960205,0.1884138529332761,bert,200,10,1
0.516,500,0.0762646707529202,0.0419926948777265,3.924965787410736,0.19089284243264934,bert,200,10,2
0.55,500,0.07712812555022537,0.04392486761760524,3.940213580608368,0.17905390776340352,bert,200,10,3
0.452,500,0.06877833799272776,0.04040499498935878,3.9395965747833253,0.19403332314503052,bert,200,20,1
0.438,500,0.06726251206849701,0.03945819691802314,3.9506144094467164,0.1791635123072808,bert,200,20,2
0.49,500,0.07010355422273279,0.04393110826069818,3.9568390126228334,0.17650003248744367,bert,200,20,3
